,Lower Super Output Area,Names,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Country of Birth;% Not United Kingdom;2011,Household Language;% of households where no people aged 16 or over have English as a main language;2011,House Prices;Median Price (?;2014,House Prices;Sales;2014,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Public Transport Accessibility Levels (2014);Average Score;,Child Benefit;Total Number of Children;2013,"Household Income, 2011/12;Median Annual Household Income estimate (?",theft_number,theft_rate
120,E01000943,Camden 025E,1054,7.0,53.4,23.7,600000,11,7.6,6.9,8.0,100,31578,118.0,1119.5445920303605
121,E01000850,Camden 026A,1694,19.5,51.1,17.0,700000,7,3.1,4.7,8.0,100,44181,929.0,5484.061393152302
122,E01000851,Camden 026B,2383,13.4,51.0,21.8,700000,37,3.9,3.9,8.0,85,37265,235.0,986.1519093579521
123,E01000852,Camden 026C,1587,12.5,57.3,26.9,390000,13,4.2,6.5,8.0,50,32650,468.0,2948.9603024574667
124,E01000854,Camden 026D,1833,18.9,58.6,26.2,792500,10,6.5,9.0,8.0,125,29258,1046.0,5706.492089470813
125,E01000915,Camden 027A,1527,7.4,39.8,18.4,678250,6,10.3,22.1,8.0,375,28527,81.0,530.4518664047151
126,E01000916,Camden 027B,1796,14.7,45.8,19.0,750550,37,5.7,12.2,8.0,260,34001,166.0,924.2761692650333
127,E01000917,Camden 027C,1888,7.6,42.7,24.0,400000,9,14.0,19.5,8.0,415,24972,36.0,190.67796610169492
128,E01000920,Camden 027D,1946,13.5,41.0,16.6,794975,26,5.7,12.0,7.5,230,37883,98.0,503.59712230215825
129,E01000855,Camden 028A,1764,32.1,45.1,15.1,332500,40,4.5,4.6,7.9,55,35286,1119.0,6343.5374149659865
130,E01000914,Camden 028B,1762,44.8,49.1,17.8,599999,23,5.0,7.6,8.0,190,38253,1259.0,7145.289443813848
131,E01000918,Camden 028C,2090,16.8,48.0,16.1,562770,21,7.6,11.2,8.0,165,34647,995.0,4760.7655502392345
132,E01000919,Camden 028D,2014,15.3,51.3,16.5,820000,13,4.7,9.4,8.0,170,35740,1145.0,5685.203574975174
133,E01000001,City of London 001A,1465,13.0,32.7,9.7,720000,67,3.5,1.9,8.0,70,58347,146.0,996.5870307167235
134,E01000002,City of London 001B,1436,22.8,27.0,6.7,836500,66,1.7,2.3,8.0,85,57159,235.0,1636.4902506963788
135,E01000003,City of London 001C,1346,5.9,32.5,9.3,487500,30,4.7,13.0,7.3,95,34387,17.0,126.30014858841011
136,E01000005,City of London 001E,985,19.0,39.3,22.1,414500,6,8.7,24.4,8.0,195,24000,319.0,3238.5786802030457
137,E01032739,City of London 001F,1044,165.4,50.2,20.7,757125,70,2.7,2.0,7.9,95,53017,3782.0,36226.053639846745
138,E01032740,City of London 001G,1099,63.7,44.6,13.9,850800,70,3.3,1.7,8.0,60,52427,634.0,5768.880800727935
139,E01001808,Hackney 001A,1838,12.7,36.8,24.0,424975,6,8.1,35.1,5.8,890,36364,69.0,375.40805223068554
140,E01001809,Hackney 001B,1977,11.4,35.6,20.0,250000,7,9.7,30.2,5.6,870,33867,21.0,106.22154779969651
141,E01001814,Hackney 001C,1660,11.4,41.5,21.6,265000,7,8.8,24.6,5.6,775,32964,46.0,277.10843373493975
142,E01001823,Hackney 001D,1765,15.1,35.1,20.1,388500,4,14.0,31.2,2.3,835,32452,17.0,96.3172804532578
143,E01001825,Hackney 001E,1598,10.6,28.7,15.4,375000,3,9.4,40.7,3.7,900,40095,14.0,87.60951188986232
144,E01001714,Hackney 002A,1490,15.0,51.6,30.4,306250,10,10.3,23.2,6.5,360,25992,10.0,67.11409395973155
145,E01001811,Hackney 002D,1503,8.5,50.3,27.1,280000,1,13.5,34.6,4.5,365,21530,23.0,153.02727877578178
146,E01001813,Hackney 002E,1250,9.8,52.3,28.2,236500,2,12.8,24.7,6.5,350,21184,108.0,864.0
147,E01033701,Hackney 002F,1849,25.0,51.3,26.7,360000,25,16.1,27.3,6.1,420,21621,53.0,286.6414277988102
148,E01001799,Hackney 003A,1582,10.6,26.9,10.7,392500,12,8.1,29.6,4.0,740,41561,13.0,82.17446270543616
149,E01001802,Hackney 003B,1294,10.5,33.9,16.1,350750,6,9.2,29.6,3.3,485,30119,3.0,23.1839258114374
150,E01001804,Hackney 003C,1528,11.1,30.0,17.7,400000,10,6.7,32.5,2.7,695,37894,8.0,52.35602094240838
151,E01001807,Hackney 003D,1806,11.7,37.2,18.6,312500,12,11.8,24.1,4.3,595,32042,11.0,60.90808416389812
152,E01001812,Hackney 003E,1746,24.7,29.3,14.7,462500,9,10.9,28.8,3.4,760,31591,5.0,28.636884306987398
153,E01001725,Hackney 004A,1909,9.5,33.9,20.2,485000,7,11.2,29.8,4.8,875,36415,6.0,31.43006809848088
154,E01001726,Hackney 004B,1357,5.1,46.0,25.6,270000,9,14.0,24.7,5.6,510,25802,9.0,66.32277081798084
155,E01001800,Hackney 004C,1597,8.5,38.2,22.4,325000,6,11.2,33.1,5.1,675,26799,63.0,394.48966812773955
156,E01001824,Hackney 004D,1517,21.6,42.4,24.3,460000,4,14.5,32.9,3.0,620,27054,19.0,125.24719841793012
157,E01001826,Hackney 004E,1740,11.3,38.8,23.2,342500,6,10.7,34.5,4.2,790,28359,11.0,63.2183908045977
158,E01001723,Hackney 006A,1944,11.8,35.5,17.7,485000,13,7.3,19.9,5.2,600,41002,10.0,51.440329218106996
159,E01001724,Hackney 006B,2219,11.7,38.0,21.0,365000,31,6.1,12.3,6.0,465,35605,35.0,157.72870662460568
160,E01001727,Hackney 006C,1920,10.7,30.0,12.4,527500,4,6.0,23.0,3.5,825,41946,18.0,93.75
161,E01001768,Hackney 006D,1825,10.2,34.1,13.5,475000,29,7.4,14.9,5.5,340,39934,21.0,115.06849315068493
162,E01001769,Hackney 006E,1594,12.4,35.6,14.0,557500,22,10.0,14.7,6.0,285,38627,12.0,75.28230865746549
163,E01001715,Hackney 007A,1321,7.7,42.5,20.2,497500,26,5.9,6.4,7.0,200,44118,12.0,90.84027252081756
164,E01001716,Hackney 007B,1318,8.0,44.1,22.9,370000,13,6.8,15.3,7.3,275,29877,42.0,318.6646433990895
165,E01001717,Hackney 007C,1222,9.8,34.7,15.5,436033,81,7.4,15.9,4.3,305,40448,18.0,147.29950900163666
166,E01001718,Hackney 007D,1787,10.4,39.8,17.6,525000,35,3.4,6.8,7.5,180,51575,20.0,111.9194180190263
167,E01001719,Hackney 007E,1139,6.4,49.3,22.1,400000,9,7.5,23.5,4.5,260,28548,15.0,131.69446883230904
168,E01001720,Hackney 007F,1736,10.1,32.7,11.2,524370,23,3.9,6.3,5.3,225,50911,22.0,126.72811059907835
169,E01001742,Hackney 008A,1810,12.5,32.0,11.8,480000,29,6.4,16.2,3.1,385,35330,34.0,187.84530386740332
